id,name,country,state,coords,type,timezone,locationPrivacy
16101,Avondale Fancy Birds,United States,Florida,"{'lat': 30.303425, 'lon': -81.710159}",puc,America/New_York,False
12780,BIRDNEST,United States,Florida,"{'lat': 30.1344, 'lon': -81.84899999999999}",puc,America/New_York,True
5785,BirdNET-Pi - Anderhome,United States,Florida,"{'lat': 30.2739, 'lon': -81.6476}",birdnetpi,America/New_York,False
9559,BirdNET-Pi - Cedar-Creek,United States,Florida,"{'lat': 30.2599, 'lon': -81.4764}",birdnetpi,America/New_York,False
11734,BirdNET-Pi - Home,United States,Florida,"{'lat': 30.335, 'lon': -81.408}",birdnetpi,America/New_York,False
8319,Jax Heights,United States,Florida,"{'lat': 30.243999, 'lon': -81.787888}",puc,America/New_York,False
11701,PUC-11701,United States,Florida,"{'lat': 30.246599999999997, 'lon': -81.53960000000001}",puc,America/New_York,True
12074,PUC-12074,United States,Florida,"{'lat': 30.156057, 'lon': -81.699013}",puc,America/New_York,False
12244,PUC-12244,United States,Florida,"{'lat': 30.208691, 'lon': -81.500992}",puc,America/New_York,False
13020,PUC-13020,United States,Florida,"{'lat': 30.110561, 'lon': -81.778603}",puc,America/New_York,False
16853,PUC-16853,United States,Florida,"{'lat': 30.306978, 'lon': -81.643097}",puc,America/New_York,False
7315,PUC-7315,United States,Florida,"{'lat': 30.153751, 'lon': -81.563278}",puc,America/New_York,False
