week,sorensen_dissimilarity
2024-07-29,0.31506849315068497
2024-08-05,0.4117647058823529
2024-08-12,0.295774647887324
2024-08-19,0.39473684210526316
2024-08-26,0.26315789473684215
2024-09-02,0.36708860759493667
2024-09-09,0.2584269662921348
2024-09-16,0.2592592592592593
2024-09-23,0.24561403508771928
2024-09-30,0.3137254901960784
2024-10-07,0.34615384615384615
2024-10-14,0.3709677419354839
2024-10-21,0.30666666666666664
2024-10-28,0.1572327044025157
2024-11-04,0.18012422360248448
2024-11-11,0.14970059880239517
2024-11-18,0.1895424836601307
2024-11-25,0.2892561983471075
2024-12-02,0.2845528455284553
2024-12-09,0.19999999999999996
2024-12-16,0.22424242424242424
2024-12-23,0.20441988950276246
2024-12-30,0.28057553956834536
2025-01-06,0.43529411764705883
2025-01-13,0.28358208955223885
2025-01-20,0.3707865168539326
2025-01-27,0.26956521739130435
2025-02-03,0.23728813559322037
2025-02-10,0.248
2025-02-17,0.20661157024793386
2025-02-24,0.1711711711711712
2025-03-03,0.1869918699186992
2025-03-10,0.2567567567567568
2025-03-17,0.22543352601156075
2025-03-24,0.18181818181818177
2025-03-31,0.18644067796610164
2025-04-07,0.25806451612903225
2025-04-14,0.23529411764705888
2025-04-21,0.19999999999999996
2025-04-28,0.14009661835748788
2025-05-05,0.17647058823529416
2025-05-12,0.16346153846153844
2025-05-19,0.1826923076923077
2025-05-26,0.1917098445595855
2025-06-02,0.20207253886010368
2025-06-09,0.1567567567567567
2025-06-16,0.19298245614035092
2025-06-23,0.19298245614035092
2025-06-30,0.19999999999999996
2025-07-07,0.1578947368421053
2025-07-14,0.20496894409937894
2025-07-21,0.18120805369127513
2025-07-28,0.17791411042944782
2025-08-04,0.2067039106145251
2025-08-11,0.21081081081081077
2025-08-18,0.22680412371134018
2025-08-25,0.1921182266009852
2025-09-01,0.18446601941747576
2025-09-08,0.24
2025-09-15,0.22388059701492535
2025-09-22,0.16822429906542058
2025-09-29,0.1785714285714286
2025-10-06,0.18518518518518523
2025-10-13,0.2032520325203252
